Area (hectares),Temperature (C),Rainfall (mm),Soil Moisture (%),Yield (kg),Environmental Factor
4.0581311290499436,22.888505004666268,518.7365072656332,31.134739266506266,13759.859008489393,1.0
9.531785910894204,15.323278206449494,783.3788854742611,51.93172788836747,34739.55173216211,0.5201201318871783
7.453942447208348,23.900989255029817,499.05592519379957,33.05015672164587,30654.71989938809,1.0
6.187255599871848,25.052928726419115,952.0111927379205,31.97533494821393,25815.903795499173,1.0
1.982177084203147,24.7989522396552,816.4879505869006,29.300239688313248,7054.4237012105,1.0
1.981947943193925,27.403903627773108,508.4897001070139,25.187159128969412,11370.062234690095,1.0
1.0517943155978948,26.16961077274452,738.1581845900273,30.25852244067064,4634.062994401891,1.0
8.728673384861883,24.295900396142184,649.5687188818833,34.21278993895551,39016.73783306288,1.0
6.210592611560483,21.649171442706766,863.8349020838361,46.95976832582922,20468.302624093223,1.0
7.226689489062432,13.695195332420043,1068.0900892046288,22.502593688778063,23998.837614617023,0.0
0.6955526958101232,24.148091095662927,424.96550607085106,28.420277586613718,2282.149077437421,1.0
9.714143595538946,23.038438435815557,823.0052158294834,52.360945611667056,45116.06102240327,1.0
8.408205087604006,23.357894185976868,767.9734408866719,25.87687694335083,28762.313730033817,1.0
2.5172215514436234,15.616257120898453,934.2680152900931,33.70580586090086,9299.068954360477,0.6279006705291117
2.2273371884674558,16.594717297958688,842.6393256475378,54.5863568743256,8714.7615913102,1.0
2.2423428436076214,27.26576426666452,649.6061336522362,26.197012445737705,10442.267274633215,1.0
3.3903013081156086,21.802224230716725,736.1892128666764,23.309473424727596,10462.279404618901,1.0
5.48518610050626,25.40750348686312,640.7948286393022,39.38151980320043,28730.036838052907,1.0
4.603477677100099,22.141591880652307,1015.2014277197197,32.096780451141456,24234.60652258536,1.0
3.2666768318813983,22.148780697478728,804.2623297343885,42.53633457935416,19072.154025257903,1.0
6.312602499862605,26.691419029879988,1180.2381371506015,52.152195619339004,37789.25648496657,1.0
1.8251916761943974,19.41977635891313,787.8678372370758,25.485939526109725,5288.269320795212,1.0
3.2753741610845726,22.480603884704916,658.3186466179075,43.227963382171396,12289.16540606817,1.0
3.980437511290071,19.688623556474788,497.25712147743457,40.22035041559455,19465.77516494245,1.0
4.832664850061842,19.82751886283842,439.372064748811,25.763151440527984,19241.071012784014,1.0
7.9591716332336295,20.454139382656802,483.17281139890207,44.9599394211593,33756.42595686207,1.0
2.3969009305044175,23.110668858168566,853.4253302022967,30.945616714430866,13249.90150403452,1.0
5.385227164929311,19.606256891682612,901.7450046459868,39.5133727417605,29683.917259416412,1.0
6.127938404189403,28.278780627867604,483.7618595935733,23.290892971082474,37243.313938636486,1.0
0.9412789208399783,17.52696348890248,979.0076628152231,38.38336228854492,6243.52677221573,1.0
6.271676093063665,21.065641779193204,703.3877896633121,32.25853872171281,29519.029141321946,1.0
2.1199791750292696,19.801344708629124,829.3586023971098,52.895248447414176,8472.028972312388,1.0
1.1179901333601554,29.234889421768663,1122.444125651085,22.27914907989473,6225.71602210563,1.0
9.514412603906665,22.982773882557872,979.3678631731063,36.7442909967332,32484.41833181196,1.0
9.673504314208314,27.159222697343175,746.2938704188335,38.337256965257524,35314.940842661905,1.0
8.17977480710638,14.57219813481514,621.7615549169425,49.000243051964745,44768.247886582416,0.1624084495570332
3.3938308071470216,23.335251329346296,369.63691973413904,42.97150300360844,13481.721207439206,1.0
1.4278850830606467,26.448153978117183,656.169336151516,46.688493487767246,5686.983886668164,1.0
7.00021375186549,22.41141994637712,757.7739522344611,51.08197142607025,22303.925008685925,1.0
4.681448690526213,27.327401875326757,602.5640945697633,54.48811894632755,25950.540277813827,1.0
1.6593632310253987,19.41355774949814,773.7486065815391,32.555019868898825,6677.04200089321,1.0
5.2041806460570665,29.0467372009279,815.3703765917536,41.520908214556115,19617.075592336423,1.0
0.8266909505945748,33.49449061809625,755.0288036383843,53.604323137567995,3134.575642296149,1.0
9.13854381974843,20.185807197801704,669.9994838353081,59.57804523860226,51132.57741679948,1.0
2.9584098252001607,19.77248739299614,833.7309343933455,55.580772441750526,16029.813319642959,1.0
6.793961701362829,29.266922385588504,888.3881299138818,34.85869050497507,21537.516362112605,1.0
3.4612552228494042,29.897860728653562,581.9201845114308,27.806660688746017,14134.266705598224,1.0
5.440646201189203,19.385699864233658,1082.1864759492541,39.57570149626355,15364.475823999857,1.0
5.693747653761156,19.899065914520712,780.2823735431476,49.66565807344169,38386.520255488715,1.0
2.2561173274925066,20.591076955697464,803.7699245889695,39.7027628301319,9928.367974467314,1.0
